similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG@K,Recall@50,weight_i,weight_u,Recall@100
Cosine,0.4,50,50,200,1e-05,,,"[0.4706, 0.0148]","[0.3265, 0.0147]",0.2,0.8,
Cosine,0.4,50,50,200,1e-05,,,"[0.4664, 0.0148]","[0.3184, 0.0144]",0.3,0.7,
Cosine,0.4,50,50,200,1e-05,,,"[0.4636, 0.0149]","[0.3127, 0.0141]",0.4,0.6,
Cosine,0.4,50,50,200,1e-05,,,"[0.459, 0.0151]","[0.3013, 0.0139]",0.5,0.5,
Cosine,0.4,50,50,200,1e-05,,,"[0.4572, 0.0149]","[0.2977, 0.0138]",0.6,0.4,
Cosine,0.4,50,50,200,1e-05,,,"[0.4483, 0.0151]","[0.2791, 0.0131]",0.7,0.3,
Cosine,0.4,50,50,200,1e-05,,,"[0.4468, 0.0152]","[0.2736, 0.0129]",0.8,0.2,
Cosine,0.4,50,50,200,1e-05,,,"[0.4463, 0.0153]","[0.2656, 0.0128]",0.9,0.1,
Cosine,0.4,50,50,200,1e-05,,,"[0.4495, 0.0156]","[0.2573, 0.0126]",1.0,0.0,
Cosine,0.4,50,100,200,1e-05,,,"[0.4899, 0.013]",,0.0,1.0,"[0.4949, 0.0162]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4893, 0.0131]",,0.1,0.9,"[0.5031, 0.0171]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4823, 0.0131]",,0.2,0.8,"[0.4955, 0.0172]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4783, 0.0131]",,0.3,0.7,"[0.4857, 0.0169]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4748, 0.0132]",,0.4,0.6,"[0.4685, 0.0165]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4675, 0.0134]",,0.5,0.5,"[0.4525, 0.0164]"
Cosine,0.4,50,100,200,1e-05,,,"[0.466, 0.0133]",,0.6,0.4,"[0.4419, 0.0161]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4654, 0.0136]",,0.7,0.3,"[0.4181, 0.0156]"
Cosine,0.4,50,100,200,1e-05,,,"[0.46, 0.0141]",,0.8,0.2,"[0.3994, 0.0153]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4536, 0.0143]",,0.9,0.1,"[0.3851, 0.0151]"
Cosine,0.4,50,100,200,1e-05,,,"[0.4522, 0.0147]",,1.0,0.0,"[0.3592, 0.0144]"
Cosine,0.5,50,50,200,1e-05,,,"[0.4802, 0.0146]","[0.3304, 0.0145]",0.0,1.0,
