similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.5,50,,200,1e-05,,,"[0.2335, 0.0109]",,50.0,0.1,0.9,,,,"[0.349, 0.0168]"
Cosine,0.5,50,,200,1e-05,,,"[0.2328, 0.0113]",,50.0,0.2,0.8,,,,"[0.3423, 0.0169]"
Cosine,0.5,50,,200,1e-05,,,"[0.2294, 0.0111]",,50.0,0.3,0.7,,,,"[0.3321, 0.0166]"
Cosine,0.5,50,,200,1e-05,,,"[0.2287, 0.0113]",,50.0,0.4,0.6,,,,"[0.3272, 0.0166]"
Cosine,0.5,50,,200,1e-05,,,"[0.2267, 0.0113]",,50.0,0.5,0.5,,,,"[0.3198, 0.0164]"
Cosine,0.5,50,,200,1e-05,,,"[0.2264, 0.0114]",,50.0,0.6,0.4,,,,"[0.3156, 0.0162]"
Cosine,0.5,50,,200,1e-05,,,"[0.2225, 0.0112]",,50.0,0.7,0.3,,,,"[0.3105, 0.0161]"
Cosine,0.5,50,,200,1e-05,,,"[0.2212, 0.0114]",,50.0,0.8,0.2,,,,"[0.2974, 0.0155]"
Cosine,0.5,50,,200,1e-05,,,"[0.2178, 0.0113]",,50.0,0.9,0.1,,,,"[0.2915, 0.0155]"
Cosine,0.5,50,,200,1e-05,,,"[0.2144, 0.0111]",,50.0,1.0,0.0,,,,"[0.2848, 0.015]"
Cosine,0.2,50,,200,0.0001,,,"[0.0678, 0.0069]","[0.0499, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.075, 0.0072]","[0.0529, 0.0056]",5.0,0.1,0.9,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0743, 0.007]","[0.053, 0.0054]",5.0,0.2,0.8,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0749, 0.0071]","[0.0527, 0.0055]",5.0,0.3,0.7,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0738, 0.0069]","[0.0521, 0.0053]",5.0,0.4,0.6,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0745, 0.0069]","[0.0518, 0.0053]",5.0,0.5,0.5,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0745, 0.0069]","[0.0514, 0.0053]",5.0,0.6,0.4,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0775, 0.0071]","[0.0543, 0.0056]",5.0,0.7,0.3,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0733, 0.0069]","[0.0506, 0.0054]",5.0,0.8,0.2,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0765, 0.0071]","[0.053, 0.0055]",5.0,0.9,0.1,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.0747, 0.007]","[0.0504, 0.0052]",5.0,1.0,0.0,,,,
Cosine,0.2,50,,200,0.0001,,,"[0.1013, 0.0083]",,10.0,0.0,1.0,"[0.0965, 0.0087]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1055, 0.0084]",,10.0,0.1,0.9,"[0.0964, 0.0085]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1071, 0.0084]",,10.0,0.2,0.8,"[0.0973, 0.0083]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.106, 0.0083]",,10.0,0.3,0.7,"[0.0959, 0.0081]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1096, 0.0085]",,10.0,0.4,0.6,"[0.1009, 0.0086]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1107, 0.0084]",,10.0,0.5,0.5,"[0.0981, 0.0081]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1049, 0.0081]",,10.0,0.6,0.4,"[0.0926, 0.0078]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1079, 0.0081]",,10.0,0.7,0.3,"[0.0951, 0.0078]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1035, 0.0079]",,10.0,0.8,0.2,"[0.0911, 0.0075]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1081, 0.0082]",,10.0,0.9,0.1,"[0.0932, 0.0077]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1019, 0.0079]",,10.0,1.0,0.0,"[0.089, 0.0075]",,,
Cosine,0.2,50,,200,0.0001,,,"[0.1254, 0.009]",,15.0,0.0,1.0,,"[0.1372, 0.0107]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1318, 0.0093]",,15.0,0.1,0.9,,"[0.1385, 0.0104]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1329, 0.0092]",,15.0,0.2,0.8,,"[0.1395, 0.0103]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1318, 0.0092]",,15.0,0.3,0.7,,"[0.138, 0.0102]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1318, 0.0089]",,15.0,0.4,0.6,,"[0.1356, 0.0099]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1352, 0.0091]",,15.0,0.5,0.5,,"[0.14, 0.0101]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1396, 0.0093]",,15.0,0.6,0.4,,"[0.1427, 0.0102]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1336, 0.009]",,15.0,0.7,0.3,,"[0.1372, 0.0099]",,
Cosine,0.2,50,,200,0.0001,,,"[0.136, 0.0093]",,15.0,0.8,0.2,,"[0.1374, 0.01]",,
Cosine,0.2,50,,200,0.0001,,,"[0.129, 0.0089]",,15.0,0.9,0.1,,"[0.1306, 0.0096]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1269, 0.0087]",,15.0,1.0,0.0,,"[0.124, 0.009]",,
Cosine,0.2,50,,200,0.0001,,,"[0.1439, 0.0095]",,20.0,0.0,1.0,,,"[0.1715, 0.012]",
Cosine,0.2,50,,200,0.0001,,,"[0.1545, 0.0099]",,20.0,0.1,0.9,,,"[0.1798, 0.0124]",
Cosine,0.2,50,,200,0.0001,,,"[0.1573, 0.01]",,20.0,0.2,0.8,,,"[0.1793, 0.0122]",
Cosine,0.2,50,,200,0.0001,,,"[0.1491, 0.0094]",,20.0,0.3,0.7,,,"[0.1689, 0.0114]",
Cosine,0.2,50,,200,0.0001,,,"[0.1556, 0.0097]",,20.0,0.4,0.6,,,"[0.1754, 0.0118]",
Cosine,0.2,50,,200,0.0001,,,"[0.154, 0.0097]",,20.0,0.5,0.5,,,"[0.1712, 0.0115]",
Cosine,0.2,50,,200,0.0001,,,"[0.154, 0.0096]",,20.0,0.6,0.4,,,"[0.1715, 0.0114]",
Cosine,0.2,50,,200,0.0001,,,"[0.1527, 0.0096]",,20.0,0.7,0.3,,,"[0.1688, 0.0113]",
Cosine,0.2,50,,200,0.0001,,,"[0.1508, 0.0095]",,20.0,0.8,0.2,,,"[0.166, 0.0111]",
Cosine,0.2,50,,200,0.0001,,,"[0.1475, 0.0093]",,20.0,0.9,0.1,,,"[0.1598, 0.0108]",
Cosine,0.2,50,,200,0.0001,,,"[0.1497, 0.0095]",,20.0,1.0,0.0,,,"[0.1627, 0.011]",
Cosine,0.2,50,,200,0.0001,,,"[0.2221, 0.0105]",,50.0,0.0,1.0,,,,"[0.3332, 0.0158]"
Cosine,0.2,50,,200,0.0001,,,"[0.2359, 0.011]",,50.0,0.1,0.9,,,,"[0.3513, 0.0168]"
Cosine,0.2,50,,200,0.0001,,,"[0.2305, 0.0112]",,50.0,0.2,0.8,,,,"[0.3409, 0.017]"
Cosine,0.2,50,,200,0.0001,,,"[0.2309, 0.0112]",,50.0,0.3,0.7,,,,"[0.3383, 0.0168]"
Cosine,0.2,50,,200,0.0001,,,"[0.2306, 0.0113]",,50.0,0.4,0.6,,,,"[0.3322, 0.0168]"
Cosine,0.2,50,,200,0.0001,,,"[0.2253, 0.0111]",,50.0,0.5,0.5,,,,"[0.3241, 0.0165]"
Cosine,0.2,50,,200,0.0001,,,"[0.2235, 0.0111]",,50.0,0.6,0.4,,,,"[0.3158, 0.0161]"
Cosine,0.2,50,,200,0.0001,,,"[0.2236, 0.0111]",,50.0,0.7,0.3,,,,"[0.3123, 0.0156]"
Cosine,0.2,50,,200,0.0001,,,"[0.2193, 0.0112]",,50.0,0.8,0.2,,,,"[0.2997, 0.0156]"
Cosine,0.2,50,,200,0.0001,,,"[0.2124, 0.011]",,50.0,0.9,0.1,,,,"[0.2824, 0.0148]"
Cosine,0.2,50,,200,0.0001,,,"[0.2083, 0.0111]",,50.0,1.0,0.0,,,,"[0.2752, 0.0147]"
Cosine,0.3,50,,200,0.0001,,,"[0.0698, 0.007]","[0.0518, 0.0059]",5.0,0.0,1.0,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.072, 0.007]","[0.0504, 0.0054]",5.0,0.1,0.9,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0716, 0.0069]","[0.05, 0.0052]",5.0,0.2,0.8,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0743, 0.0069]","[0.0526, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0758, 0.007]","[0.0528, 0.0053]",5.0,0.4,0.6,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0789, 0.0072]","[0.0551, 0.0056]",5.0,0.5,0.5,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0764, 0.007]","[0.0528, 0.0053]",5.0,0.6,0.4,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0762, 0.0071]","[0.0536, 0.0055]",5.0,0.7,0.3,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0737, 0.0068]","[0.0508, 0.0053]",5.0,0.8,0.2,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0749, 0.007]","[0.05, 0.0053]",5.0,0.9,0.1,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.0764, 0.007]","[0.0517, 0.0052]",5.0,1.0,0.0,,,,
Cosine,0.3,50,,200,0.0001,,,"[0.1022, 0.0083]",,10.0,0.0,1.0,"[0.0973, 0.0087]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1046, 0.0084]",,10.0,0.1,0.9,"[0.0951, 0.0083]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1077, 0.0084]",,10.0,0.2,0.8,"[0.0984, 0.0084]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1105, 0.0084]",,10.0,0.3,0.7,"[0.0987, 0.0081]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1132, 0.0086]",,10.0,0.4,0.6,"[0.1024, 0.0084]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1086, 0.0083]",,10.0,0.5,0.5,"[0.0977, 0.0081]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1099, 0.0083]",,10.0,0.6,0.4,"[0.0979, 0.0079]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1103, 0.0084]",,10.0,0.7,0.3,"[0.0963, 0.008]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1086, 0.0082]",,10.0,0.8,0.2,"[0.0937, 0.0078]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1094, 0.0083]",,10.0,0.9,0.1,"[0.0946, 0.008]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1052, 0.008]",,10.0,1.0,0.0,"[0.0904, 0.0076]",,,
Cosine,0.3,50,,200,0.0001,,,"[0.1261, 0.0091]",,15.0,0.0,1.0,,"[0.1365, 0.0106]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1323, 0.0092]",,15.0,0.1,0.9,,"[0.1391, 0.0104]",,
Cosine,0.3,50,,200,0.0001,,,"[0.134, 0.0094]",,15.0,0.2,0.8,,"[0.139, 0.0104]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1353, 0.0094]",,15.0,0.3,0.7,,"[0.139, 0.0103]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1334, 0.0091]",,15.0,0.4,0.6,,"[0.1385, 0.0102]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1381, 0.0094]",,15.0,0.5,0.5,,"[0.1407, 0.0103]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1359, 0.0093]",,15.0,0.6,0.4,,"[0.1386, 0.0102]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1286, 0.0086]",,15.0,0.7,0.3,,"[0.1312, 0.0095]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1341, 0.0089]",,15.0,0.8,0.2,,"[0.1351, 0.0097]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1282, 0.0089]",,15.0,0.9,0.1,,"[0.1294, 0.0097]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1284, 0.0089]",,15.0,1.0,0.0,,"[0.126, 0.0094]",,
Cosine,0.3,50,,200,0.0001,,,"[0.1445, 0.0094]",,20.0,0.0,1.0,,,"[0.1726, 0.0119]",
Cosine,0.3,50,,200,0.0001,,,"[0.1534, 0.0099]",,20.0,0.1,0.9,,,"[0.1772, 0.0122]",
Cosine,0.3,50,,200,0.0001,,,"[0.1522, 0.0097]",,20.0,0.2,0.8,,,"[0.1736, 0.0118]",
Cosine,0.3,50,,200,0.0001,,,"[0.1513, 0.0096]",,20.0,0.3,0.7,,,"[0.173, 0.0117]",
Cosine,0.3,50,,200,0.0001,,,"[0.1544, 0.0096]",,20.0,0.4,0.6,,,"[0.1754, 0.0116]",
Cosine,0.3,50,,200,0.0001,,,"[0.1564, 0.0098]",,20.0,0.5,0.5,,,"[0.1732, 0.0115]",
Cosine,0.3,50,,200,0.0001,,,"[0.1541, 0.0096]",,20.0,0.6,0.4,,,"[0.1746, 0.0117]",
Cosine,0.3,50,,200,0.0001,,,"[0.1501, 0.0095]",,20.0,0.7,0.3,,,"[0.1676, 0.0112]",
Cosine,0.3,50,,200,0.0001,,,"[0.1569, 0.0098]",,20.0,0.8,0.2,,,"[0.1728, 0.0115]",
Cosine,0.3,50,,200,0.0001,,,"[0.1466, 0.0094]",,20.0,0.9,0.1,,,"[0.1618, 0.0111]",
Cosine,0.3,50,,200,0.0001,,,"[0.1461, 0.0095]",,20.0,1.0,0.0,,,"[0.1573, 0.011]",
Cosine,0.3,50,,200,0.0001,,,"[0.2203, 0.0104]",,50.0,0.0,1.0,,,,"[0.3304, 0.0156]"
Cosine,0.3,50,,200,0.0001,,,"[0.2301, 0.0109]",,50.0,0.1,0.9,,,,"[0.3445, 0.0169]"
Cosine,0.3,50,,200,0.0001,,,"[0.2356, 0.0111]",,50.0,0.2,0.8,,,,"[0.3472, 0.0169]"
Cosine,0.3,50,,200,0.0001,,,"[0.2329, 0.0113]",,50.0,0.3,0.7,,,,"[0.3377, 0.0168]"
Cosine,0.3,50,,200,0.0001,,,"[0.2305, 0.0114]",,50.0,0.4,0.6,,,,"[0.3304, 0.0168]"
Cosine,0.3,50,,200,0.0001,,,"[0.2276, 0.0113]",,50.0,0.5,0.5,,,,"[0.3261, 0.0167]"
Cosine,0.3,50,,200,0.0001,,,"[0.2227, 0.0112]",,50.0,0.6,0.4,,,,"[0.3132, 0.0159]"
Cosine,0.3,50,,200,0.0001,,,"[0.2172, 0.0112]",,50.0,0.7,0.3,,,,"[0.3031, 0.0158]"
Cosine,0.3,50,,200,0.0001,,,"[0.2183, 0.0112]",,50.0,0.8,0.2,,,,"[0.3002, 0.0155]"
Cosine,0.3,50,,200,0.0001,,,"[0.2091, 0.0108]",,50.0,0.9,0.1,,,,"[0.2834, 0.0148]"
Cosine,0.3,50,,200,0.0001,,,"[0.2089, 0.0111]",,50.0,1.0,0.0,,,,"[0.2748, 0.0145]"
Cosine,0.4,50,,200,0.0001,,,"[0.0692, 0.007]","[0.0508, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0746, 0.0071]","[0.0531, 0.0056]",5.0,0.1,0.9,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0748, 0.0072]","[0.0524, 0.0056]",5.0,0.2,0.8,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0743, 0.0069]","[0.0523, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.076, 0.0069]","[0.0529, 0.0052]",5.0,0.4,0.6,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0791, 0.0073]","[0.0547, 0.0057]",5.0,0.5,0.5,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0736, 0.0068]","[0.0504, 0.0052]",5.0,0.6,0.4,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0764, 0.0069]","[0.0509, 0.0051]",5.0,0.7,0.3,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0771, 0.0071]","[0.0535, 0.0055]",5.0,0.8,0.2,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0784, 0.0072]","[0.053, 0.0055]",5.0,0.9,0.1,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0753, 0.0069]","[0.0511, 0.0051]",5.0,1.0,0.0,,,,
Cosine,0.4,50,,200,0.0001,,,"[0.0998, 0.0083]",,10.0,0.0,1.0,"[0.0951, 0.0088]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1074, 0.0085]",,10.0,0.1,0.9,"[0.098, 0.0086]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1093, 0.0084]",,10.0,0.2,0.8,"[0.0996, 0.0082]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1079, 0.0082]",,10.0,0.3,0.7,"[0.0966, 0.0079]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1133, 0.0087]",,10.0,0.4,0.6,"[0.0993, 0.0083]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1134, 0.0087]",,10.0,0.5,0.5,"[0.1017, 0.0084]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1084, 0.0083]",,10.0,0.6,0.4,"[0.0951, 0.0078]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1094, 0.0083]",,10.0,0.7,0.3,"[0.0947, 0.0078]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1133, 0.0084]",,10.0,0.8,0.2,"[0.0983, 0.008]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1049, 0.008]",,10.0,0.9,0.1,"[0.0905, 0.0074]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1095, 0.0084]",,10.0,1.0,0.0,"[0.0938, 0.0078]",,,
Cosine,0.4,50,,200,0.0001,,,"[0.1264, 0.0092]",,15.0,0.0,1.0,,"[0.1365, 0.0107]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1333, 0.0093]",,15.0,0.1,0.9,,"[0.1403, 0.0104]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1332, 0.0092]",,15.0,0.2,0.8,,"[0.1388, 0.0102]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1328, 0.0092]",,15.0,0.3,0.7,,"[0.1356, 0.0101]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1343, 0.0091]",,15.0,0.4,0.6,,"[0.1373, 0.01]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1354, 0.0093]",,15.0,0.5,0.5,,"[0.1375, 0.0101]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1325, 0.009]",,15.0,0.6,0.4,,"[0.1353, 0.0098]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1326, 0.0091]",,15.0,0.7,0.3,,"[0.133, 0.0097]",,
Cosine,0.4,50,,200,0.0001,,,"[0.128, 0.0087]",,15.0,0.8,0.2,,"[0.1304, 0.0096]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1323, 0.009]",,15.0,0.9,0.1,,"[0.1302, 0.0097]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1326, 0.009]",,15.0,1.0,0.0,,"[0.1296, 0.0095]",,
Cosine,0.4,50,,200,0.0001,,,"[0.1459, 0.0096]",,20.0,0.0,1.0,,,"[0.1737, 0.012]",
Cosine,0.4,50,,200,0.0001,,,"[0.1521, 0.0098]",,20.0,0.1,0.9,,,"[0.1762, 0.0123]",
Cosine,0.4,50,,200,0.0001,,,"[0.1544, 0.0098]",,20.0,0.2,0.8,,,"[0.1762, 0.0119]",
Cosine,0.4,50,,200,0.0001,,,"[0.1535, 0.0097]",,20.0,0.3,0.7,,,"[0.1724, 0.0115]",
Cosine,0.4,50,,200,0.0001,,,"[0.1574, 0.0097]",,20.0,0.4,0.6,,,"[0.1773, 0.0118]",
Cosine,0.4,50,,200,0.0001,,,"[0.1554, 0.0097]",,20.0,0.5,0.5,,,"[0.1737, 0.0117]",
Cosine,0.4,50,,200,0.0001,,,"[0.1573, 0.0097]",,20.0,0.6,0.4,,,"[0.174, 0.0114]",
Cosine,0.4,50,,200,0.0001,,,"[0.1548, 0.0098]",,20.0,0.7,0.3,,,"[0.169, 0.0114]",
Cosine,0.4,50,,200,0.0001,,,"[0.1493, 0.0095]",,20.0,0.8,0.2,,,"[0.163, 0.0113]",
Cosine,0.4,50,,200,0.0001,,,"[0.1524, 0.0097]",,20.0,0.9,0.1,,,"[0.1631, 0.0111]",
Cosine,0.4,50,,200,0.0001,,,"[0.1502, 0.0098]",,20.0,1.0,0.0,,,"[0.1593, 0.0112]",
Cosine,0.4,50,,200,0.0001,,,"[0.2213, 0.0104]",,50.0,0.0,1.0,,,,"[0.3318, 0.0155]"
Cosine,0.4,50,,200,0.0001,,,"[0.2343, 0.011]",,50.0,0.1,0.9,,,,"[0.3497, 0.0168]"
Cosine,0.4,50,,200,0.0001,,,"[0.232, 0.0111]",,50.0,0.2,0.8,,,,"[0.3428, 0.0168]"
Cosine,0.4,50,,200,0.0001,,,"[0.2303, 0.0111]",,50.0,0.3,0.7,,,,"[0.3333, 0.0166]"
Cosine,0.4,50,,200,0.0001,,,"[0.2311, 0.0114]",,50.0,0.4,0.6,,,,"[0.3309, 0.0167]"
Cosine,0.4,50,,200,0.0001,,,"[0.2303, 0.0112]",,50.0,0.5,0.5,,,,"[0.3274, 0.0166]"
Cosine,0.4,50,,200,0.0001,,,"[0.2291, 0.0114]",,50.0,0.6,0.4,,,,"[0.3148, 0.0159]"
Cosine,0.4,50,,200,0.0001,,,"[0.224, 0.0113]",,50.0,0.7,0.3,,,,"[0.3104, 0.0158]"
Cosine,0.4,50,,200,0.0001,,,"[0.2198, 0.0111]",,50.0,0.8,0.2,,,,"[0.3002, 0.0154]"
Cosine,0.4,50,,200,0.0001,,,"[0.2123, 0.0112]",,50.0,0.9,0.1,,,,"[0.2838, 0.0149]"
Cosine,0.4,50,,200,0.0001,,,"[0.2084, 0.0111]",,50.0,1.0,0.0,,,,"[0.2781, 0.015]"
Cosine,0.5,50,,200,0.0001,,,"[0.0675, 0.0069]","[0.0492, 0.0057]",5.0,0.0,1.0,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.071, 0.0071]","[0.0494, 0.0055]",5.0,0.1,0.9,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0751, 0.0072]","[0.0529, 0.0056]",5.0,0.2,0.8,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0771, 0.0072]","[0.0542, 0.0056]",5.0,0.3,0.7,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0773, 0.0073]","[0.0539, 0.0056]",5.0,0.4,0.6,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0779, 0.0071]","[0.054, 0.0055]",5.0,0.5,0.5,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0749, 0.0069]","[0.052, 0.0053]",5.0,0.6,0.4,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0756, 0.007]","[0.0512, 0.0053]",5.0,0.7,0.3,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0762, 0.007]","[0.053, 0.0056]",5.0,0.8,0.2,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0745, 0.0067]","[0.0505, 0.0051]",5.0,0.9,0.1,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.0738, 0.0067]","[0.0504, 0.0052]",5.0,1.0,0.0,,,,
Cosine,0.5,50,,200,0.0001,,,"[0.1032, 0.0084]",,10.0,0.0,1.0,"[0.0979, 0.0087]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1051, 0.0085]",,10.0,0.1,0.9,"[0.0959, 0.0084]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1073, 0.0084]",,10.0,0.2,0.8,"[0.097, 0.0082]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1079, 0.0084]",,10.0,0.3,0.7,"[0.0972, 0.0082]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1128, 0.0086]",,10.0,0.4,0.6,"[0.0997, 0.0082]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.108, 0.0081]",,10.0,0.5,0.5,"[0.0958, 0.0077]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1117, 0.0084]",,10.0,0.6,0.4,"[0.0998, 0.0082]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1097, 0.0083]",,10.0,0.7,0.3,"[0.0957, 0.008]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.111, 0.0085]",,10.0,0.8,0.2,"[0.0957, 0.0078]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1077, 0.0082]",,10.0,0.9,0.1,"[0.0946, 0.008]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.109, 0.0084]",,10.0,1.0,0.0,"[0.0922, 0.0077]",,,
Cosine,0.5,50,,200,0.0001,,,"[0.1255, 0.009]",,15.0,0.0,1.0,,"[0.1362, 0.0106]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1314, 0.0093]",,15.0,0.1,0.9,,"[0.1379, 0.0105]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1328, 0.0093]",,15.0,0.2,0.8,,"[0.1372, 0.0103]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1309, 0.0092]",,15.0,0.3,0.7,,"[0.1334, 0.0101]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1325, 0.0091]",,15.0,0.4,0.6,,"[0.135, 0.0099]",,
Cosine,0.5,50,,200,0.0001,,,"[0.136, 0.0092]",,15.0,0.5,0.5,,"[0.1398, 0.01]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1324, 0.009]",,15.0,0.6,0.4,,"[0.1331, 0.0098]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1357, 0.0093]",,15.0,0.7,0.3,,"[0.1367, 0.0102]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1316, 0.009]",,15.0,0.8,0.2,,"[0.1314, 0.0097]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1322, 0.0092]",,15.0,0.9,0.1,,"[0.1299, 0.0097]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1327, 0.0091]",,15.0,1.0,0.0,,"[0.1304, 0.0097]",,
Cosine,0.5,50,,200,0.0001,,,"[0.1432, 0.0096]",,20.0,0.0,1.0,,,"[0.1712, 0.0122]",
Cosine,0.5,50,,200,0.0001,,,"[0.1529, 0.01]",,20.0,0.1,0.9,,,"[0.1769, 0.0123]",
Cosine,0.5,50,,200,0.0001,,,"[0.1516, 0.0098]",,20.0,0.2,0.8,,,"[0.1722, 0.0118]",
Cosine,0.5,50,,200,0.0001,,,"[0.1541, 0.0099]",,20.0,0.3,0.7,,,"[0.1733, 0.0118]",
Cosine,0.5,50,,200,0.0001,,,"[0.1524, 0.0097]",,20.0,0.4,0.6,,,"[0.169, 0.0115]",
Cosine,0.5,50,,200,0.0001,,,"[0.1525, 0.0096]",,20.0,0.5,0.5,,,"[0.1698, 0.0115]",
Cosine,0.5,50,,200,0.0001,,,"[0.1561, 0.01]",,20.0,0.6,0.4,,,"[0.1705, 0.0117]",
