similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.2,50,,200,1e-05,,,"[0.1478, 0.0095]",,20.0,0.9,0.1,,,"[0.1605, 0.011]",
Cosine,0.2,50,,200,1e-05,,,"[0.1465, 0.0094]",,20.0,1.0,0.0,,,"[0.1544, 0.0105]",
Cosine,0.2,50,,200,1e-05,,,"[0.2247, 0.0106]",,50.0,0.0,1.0,,,,"[0.3359, 0.016]"
Cosine,0.2,50,,200,1e-05,,,"[0.2368, 0.0111]",,50.0,0.1,0.9,,,,"[0.3521, 0.017]"
Cosine,0.2,50,,200,1e-05,,,"[0.234, 0.0111]",,50.0,0.2,0.8,,,,"[0.3458, 0.017]"
Cosine,0.2,50,,200,1e-05,,,"[0.234, 0.0112]",,50.0,0.3,0.7,,,,"[0.3422, 0.017]"
Cosine,0.2,50,,200,1e-05,,,"[0.2311, 0.0112]",,50.0,0.4,0.6,,,,"[0.3382, 0.017]"
Cosine,0.2,50,,200,1e-05,,,"[0.2269, 0.0111]",,50.0,0.5,0.5,,,,"[0.3253, 0.0166]"
Cosine,0.2,50,,200,1e-05,,,"[0.2206, 0.0111]",,50.0,0.6,0.4,,,,"[0.3134, 0.0161]"
Cosine,0.2,50,,200,1e-05,,,"[0.2235, 0.0113]",,50.0,0.7,0.3,,,,"[0.3074, 0.0156]"
Cosine,0.2,50,,200,1e-05,,,"[0.2144, 0.0108]",,50.0,0.8,0.2,,,,"[0.2962, 0.0151]"
Cosine,0.2,50,,200,1e-05,,,"[0.2091, 0.011]",,50.0,0.9,0.1,,,,"[0.2821, 0.015]"
Cosine,0.2,50,,200,1e-05,,,"[0.2057, 0.0109]",,50.0,1.0,0.0,,,,"[0.273, 0.0143]"
Cosine,0.3,50,,200,1e-05,,,"[0.07, 0.0071]","[0.0518, 0.0059]",5.0,0.0,1.0,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0723, 0.0071]","[0.0506, 0.0054]",5.0,0.1,0.9,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0736, 0.007]","[0.052, 0.0053]",5.0,0.2,0.8,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0738, 0.007]","[0.0509, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0738, 0.0068]","[0.0517, 0.0052]",5.0,0.4,0.6,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0777, 0.0071]","[0.0549, 0.0056]",5.0,0.5,0.5,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0762, 0.0071]","[0.0531, 0.0055]",5.0,0.6,0.4,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.072, 0.0067]","[0.0503, 0.0053]",5.0,0.7,0.3,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0755, 0.0069]","[0.0518, 0.0053]",5.0,0.8,0.2,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.0709, 0.0068]","[0.0481, 0.0053]",5.0,0.9,0.1,,,,
